BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Acalypha bisetosa,Acalypha,bisetosa,,Bertero ex Spreng.,Euphorbiaceae,Malpighiales,PRTRE666-13,KJ012453,,,R.A. Muscarella-650,14-Mar-2012,US
Acnistus arborescens,Acnistus,arborescens,,(L.) Schltdl.,Solanaceae,Solanales,PRTRE308-13,,KJ082106,KJ426590,F. Axelrod-3922,02-Aug-1992,US
Acrocomia aculeata,Acrocomia,aculeata,,(Jacq.) Lodd. ex Mart.,Arecaceae,Arecales,PRTRE287-13,KJ012454,KJ082107,KJ426591,R.A. Muscarella-365,26-Jul-2011,US
Adelia ricinella,Adelia,ricinella,,L.,Euphorbiaceae,Malpighiales,PRTRE024-13,,AB267914.1,KJ426592,R.A. Muscarella-6,06-Mar-2011,US
Adenanthera pavonina,Adenanthera,pavonina,,L.,Fabaceae,Fabales,PRTRE122-13,,KJ082108,KJ426593,R.A. Muscarella-174,07-Oct-2011,US
Aegiphila martinicensis,Aegiphila,martinicensis,,Jacq.,Lamiaceae,Lamiales,PRTRE367-13,,KJ082109,KJ426594,C. Duckett-NA,02-Feb-1987,US
Aiphanes acanthophylla,Aiphanes,acanthophylla,,(Mart.) Burret,Arecaceae,Arecales,PRTRE196-13,KJ012455,KJ082110,KJ426595,R.A. Muscarella-412,30-Jul-2011,US
Albizia procera,Albizia,procera,,(Roxb.) Benth.,Fabaceae,Fabales,PRTRE008-13,KJ012456,KJ082111,KJ426596,R.A. Muscarella-121,07-Jul-2011,US
Allophylus crassinervis,Allophylus,crassinervis,,Radlk. f. crassinervis,Sapindaceae,Sapindales,PRTRE635-13,KJ012457,KJ082112,KJ426597,R.A. Muscarella-566,13-Feb-2012,US
Allophylus crassinervis,Allophylus,crassinervis,,Radlk.,Sapindaceae,Sapindales,PRTRE067-13,KJ012458,KJ082113,KJ426598,R.A. Muscarella-44,15-Jun-2011,US
Allophylus racemosus,Allophylus,racemosus,,Sw.,Sapindaceae,Sapindales,PRTRE020-13,KJ012459,KJ082114,KJ426599,R.A. Muscarella-37,15-Jun-2011,US
Alsophila bryophila,Alsophila,bryophila,,R. M. Tryon,Cyatheaceae,Cyatheales,PRTRE068-13,,KJ082115,KJ426600,R.A. Muscarella-33,06-Mar-2011,US
Alsophila portoricensis,Alsophila,portoricensis,,(Spreng. ex Kuhn) D. S. Conant,Cyatheaceae,Cyatheales,PRTRE045-13,,KJ082116,KJ426601,R.A. Muscarella-24,06-Oct-2011,US
Amphitecna latifolia,Amphitecna,latifolia,,(Mill.) A. H. Gentry,Bignoniaceae,Lamiales,PRTRE191-13,KJ012460,KJ082117,KJ426602,R.A. Muscarella-439,30-Jul-2011,US
Amyris elemifera,Amyris,elemifera,,L.,Rutaceae,Sapindales,PRTRE072-13,KJ012461,KJ082118,KJ426603,R.A. Muscarella-11,06-Mar-2011,US
Anadenanthera peregrina,Anadenanthera,peregrina,,(L.) Speg.,Fabaceae,Fabales,PRTRE144-13,,KJ082119,KJ426604,R.A. Muscarella-467,08-May-2011,US
Aniba bracteata,Aniba,bracteata,,(Nees) Urb.,Lauraceae,Laurales,PRTRE450-13,,FJ038067.1,,R.A. Howard-16598,15-Aug-1967,US
Annona glabra,Annona,glabra,,L.,Annonaceae,Magnoliales,PRTRE264-13,KJ012462,KJ082120,KJ426605,R.A. Muscarella-293,18-Jul-2011,US
Annona montana,Annona,montana,,Macfad.,Annonaceae,Magnoliales,PRTRE381-13,,KJ082121,KJ426606,Daniel Atha -800,02-Aug-1994,US
Annona montana,Annona,montana,,Macfad.,Annonaceae,Magnoliales,PRTRE142-13,KJ012463,KJ082122,KJ426607,R.A. Muscarella-488,08-Dec-2011,US
Ardisia glauciflora,Ardisia,glauciflora,,Urb.,Primulaceae,Ericales,PRTRE452-13,KJ012464,KJ082123,,R.A. Muscarella-110,07-Mar-2011,US
Ardisia luquillensis,Ardisia,luquillensis,,(Britton) Alain,Primulaceae,Ericales,PRTRE145-13,KJ012465,KJ082124,KJ426608,R.A. Muscarella-445,30-Jul-2011,US
Ardisia obovata,Ardisia,obovata,,Ham.,Primulaceae,Ericales,PRTRE273-13,KJ012466,KJ082125,KJ426609,R.A. Muscarella-240,16-Jul-2011,US
Ardisia obovata,Ardisia,obovata,,Desv. ex Ham.,Primulaceae,Ericales,PRTRE607-13,KJ012467,KJ082126,,R.A. Muscarella-550,13-Feb-2012,US
Avicennia germinans,Avicennia,germinans,,(L.) L.,Acanthaceae,Lamiales,PRTRE243-13,,KJ082127,KJ426610,R.A. Muscarella-296,18-Jul-2011,US
Badiera cowellii,Badiera,cowellii,,(L.) DC.,Polygalaceae,Fabales,PRTRE266-13,KJ012468,KJ082128,,R.A. Muscarella-385,28-Jul-2011,US
Badiera penaea,Badiera,penaea,,(L.) DC.,Polygalaceae,Fabales,PRTRE658-13,,KJ082129,KJ426611,R.A. Muscarella-568,13-Feb-2012,US
Badiera penaea,Badiera,penaea,,(L.) DC.,Polygalaceae,Fabales,PRTRE590-13,,KJ082130,KJ426612,R.A. Muscarella-559,13-Feb-2012,US
Banara portoricensis,Banara,portoricensis,,Kurg & Urb.,Salicaceae,Malpighiales,PRTRE448-13,,KJ082131,,Brother Alain Liogier-10042,18-Jul-1963,US
Banara portoricensis,Banara,portoricensis,,Krug & Urb.,Salicaceae,Malpighiales,PRTRE640-13,,KJ082132,KJ426613,R.A. Muscarella-701,19-Apr-2012,US
Banara vanderbiltii,Banara,vanderbiltii,,Urb.,Salicaceae,Malpighiales,PRTRE202-13,,KJ082133,,R.A. Muscarella-492,08-Dec-2011,US
Bastardiopsis eggersii,Bastardiopsis,eggersii,,(Baker f.) Fuertes & Fryxell,Malvaceae,Malvales,PRTRE439-13,KJ012469,KJ082134,KJ426614,R.A. Muscarella-491,08-Dec-2011,US
Bernardia dichotoma,Bernardia,dichotoma,,(Willd.) Mull. Arg,Euphorbiaceae,Malpighiales,PRTRE421-13,,KJ082135,KJ426615,R.A. Muscarella-53,06-Mar-2011,US
Bocconia frutescens,Bocconia,frutescens,,L.,Papaveraceae,Ranunculales,PRTRE240-13,KJ012470,KJ082136,KJ426616,R.A. Muscarella-261,17-Jul-2011,US
Bonellia pauciflora,Bonellia,pauciflora,,(B. Stahl & F. S. Axelrod) B. Stahl & Kaellersjoe,Primulaceae,Ericales,PRTRE424-13,KJ012471,KJ082137,,R.A. Muscarella-423,30-Jul-2011,US
Bonellia umbellata,Bonellia,umbellata,,(A. DC.) B. Stahl & Kaellersjoe,Primulaceae,Ericales,PRTRE192-13,KJ012472,KJ082138,,R.A. Muscarella-428,30-Jul-2011,US
Bontia daphnoides,Bontia,daphnoides,,L.,Scrophulariaceae,Lamiales,PRTRE212-13,KJ012473,KJ082139,KJ426617,R.A. Muscarella-469,08-May-2011,US
Bourreria succulenta,Bourreria,succulenta,,Jacq.,Boraginaceae,Boraginales,PRTRE139-13,KJ012474,KJ082140,KJ426618,R.A. Muscarella-204,16-Jul-2011,US
Bourreria succulenta,Bourreria,succulenta,,Jacq.,Boraginaceae,Boraginales,PRTRE654-13,KJ012475,KJ082141,KJ426619,R.A. Muscarella-567,13-Feb-2012,US
Bourreria succulenta,Bourreria,succulenta,,Jacq.,Boraginaceae,Boraginales,PRTRE038-13,KJ012476,KJ082142,KJ426620,R.A. Muscarella-131,07-Jul-2011,US
Bourreria virgata,Bourreria,virgata,,(Sw.) G. Don,Boraginaceae,Boraginales,PRTRE209-13,KJ012477,KJ082143,KJ426621,R.A. Muscarella-500,08-Dec-2011,US
Bourreria virgata,Bourreria,virgata,,(Sw.) G. Don,Boraginaceae,Boraginales,PRTRE368-13,,KJ082144,KJ426623,J.D. Ackerman-4057,02-Jun-2005,US
Bourreria virgata,Bourreria,virgata,,(Sw.) G. Don,Boraginaceae,Boraginales,PRTRE577-13,,,KJ426622,R.A. Muscarella-586,21-Feb-2012,US
Brunellia comocladiifolia,Brunellia,comocladiifolia,subsp. domingensis,Cuatrec.,Brunelliaceae,Oxalidales,PRTRE261-13,KJ012478,KJ082145,KJ426624,R.A. Muscarella-259,17-Jul-2011,US
Brunfelsia americana,Brunfelsia,americana,,L.,Solanaceae,Solanales,PRTRE583-13,KJ012479,KJ082146,KJ426625,R.A. Muscarella-695,17-Apr-2012,US
Brunfelsia americana,Brunfelsia,americana,,L.,Solanaceae,Solanales,PRTRE309-13,,,KJ426625,M. Vines-NA,02-Aug-1996,US
Brunfelsia densifolia,Brunfelsia,densifolia,,Krug & Urb.,Solanaceae,Solanales,PRTRE077-13,,KJ082146,,R.A. Muscarella-74,18-Jun-2011,US
Brunfelsia lactea,Brunfelsia,lactea,,Krug & Urb.,Solanaceae,Solanales,PRTRE186-13,KJ012480,KJ082147,KJ426626,R.A. Muscarella-503,08-Dec-2011,US
Brunfelsia portoricensis,Brunfelsia,portoricensis,,Krug & Urb.,Solanaceae,Solanales,PRTRE606-13,KJ012481,KJ082148,KJ426627,R.A. Muscarella-541,19-Feb-2012,US
Bucida buceras,Bucida,buceras,,L.,Combretaceae,Myrtales,PRTRE023-13,KJ012482,KJ082149,KJ426628,R.A. Muscarella-7,06-Mar-2011,US
Bunchosia glandulosa,Bunchosia,glandulosa,,(Cav.) DC.,Malpighiaceae,Malpighiales,PRTRE217-13,KJ012484,,KJ426629,R.A. Muscarella-198,16-Jul-2011,US
Bursera simaruba,Bursera,simaruba,,(L.) Sarg.,Burseraceae,Sapindales,PRTRE062-13,KJ012485,KJ082151,KJ426630,R.A. Muscarella-125,07-Jul-2011,US
Buxus portoricensis,Buxus,portoricensis,,Alain,Buxaceae,Buxales,PRTRE532-13,KJ012486,KJ082152,,R.A. Muscarella-628,21-Feb-2012,US
Buxus portoricensis,Buxus,portoricensis,,Alain,Buxaceae,Buxales,PRTRE197-13,,KJ082153,KJ426631,R.A. Muscarella-427,30-Jul-2011,US
Buxus vahlii,Buxus,vahlii,,Baill.,Buxaceae,Buxales,PRTRE164-13,KJ012487,KJ082154,KJ426632,R.A. Muscarella-505,08-Dec-2011,US
Byrsonima lucida,Byrsonima,lucida,,(Mill.) DC.,Malpighiaceae,Malpighiales,PRTRE157-13,KJ012488,KJ082155,KJ426633,R.A. Muscarella-506,08-Dec-2011,US
Byrsonima spicata,Byrsonima,spicata,,(Cav.) DC.,Malpighiaceae,Malpighiales,PRTRE453-13,KJ012490,KJ082159,,R.A. Muscarella-126,07-Jul-2011,US
Byrsonima wadsworthii,Byrsonima,wadsworthii,,Little,Malpighiaceae,Malpighiales,PRTRE528-13,KJ012493,KJ082162,KJ426638,R.A. Muscarella-707,17-Apr-2012,US
Callicarpa ampla,Callicarpa,ampla,,Schauer,Lamiaceae,Lamiales,PRTRE210-13,KJ012494,KJ082163,KJ426639,R.A. Muscarella-490,08-Dec-2011,US
Calyptranthes krugii,Calyptranthes,krugii,,Kiaersk.,Myrtaceae,Myrtales,PRTRE109-13,KJ012495,KJ082164,KJ426640,R.A. Muscarella-280,18-Jul-2011,US
Calyptranthes krugii,Calyptranthes,krugii,,Kiaersk.,Myrtaceae,Myrtales,PRTRE644-13,KJ012496,KJ082165,KJ426641,R.A. Muscarella-520,02-Jun-2012,US
Calyptranthes luquillensis,Calyptranthes,luquillensis,,Alain,Myrtaceae,Myrtales,PRTRE063-13,KJ012497,KJ082166,KJ426642,R.A. Muscarella-116,07-May-2011,US
Calyptranthes sintenisii,Calyptranthes,sintenisii,,Kiaersk.,Myrtaceae,Myrtales,PRTRE205-13,,KJ082167,,F. Axelrod-10928,02-Aug-1999,US
Calyptranthes sintenisii,Calyptranthes,sintenisii,,Kiaersk.,Myrtaceae,Myrtales,PRTRE156-13,KJ012498,KJ082168,KJ426643,R.A. Muscarella-497,08-Dec-2011,US
Calyptranthes woodburyi,Calyptranthes,woodburyi,,Alain,Myrtaceae,Myrtales,PRTRE098-13,KJ012499,KJ082169,KJ426644,R.A. Muscarella-358,24-Jul-2011,US
Calyptronoma rivalis,Calyptronoma,rivalis,,(O. F. Cook) L. H. Bailey,Arecaceae,Arecales,PRTRE135-13,KJ012500,KJ082170,KJ426645,R.A. Muscarella-509,08-Dec-2011,US
Calyptronoma rivalis,Calyptronoma,rivalis,,(O. F. Cook) L. H. Bailey,Arecaceae,Arecales,PRTRE335-13,,KJ082171,,F. Axelrod-9779,02-Aug-1996,US
Capparidastrum frondosum,Capparidastrum,frondosum,,(Jacq.) Cornejo & Iltis,Capparaceae,Brassicales,PRTRE130-13,KJ012501,KJ082172,KJ426646,R.A. Muscarella-446,30-Jul-2011,US
Casearia decandra,Casearia,decandra,,Jacq.,Salicaceae,Malpighiales,PRTRE288-13,,KJ082173,KJ426647,R.A. Muscarella-187,07-Nov-2011,US
Casearia guianensis,Casearia,guianensis,,(Aubl.) Urb.,Salicaceae,Malpighiales,PRTRE663-13,KJ012502,KJ082174,,R.A. Muscarella-620,21-Feb-2012,US
Cassipourea guianensis,Cassipourea,guianensis,,Aubl.,Rhizophoraceae,Malpighiales,PRTRE650-13,KJ012503,KJ082175,,R.A. Muscarella-523,02-Jun-2012,US
Celtis trinervia,Celtis,trinervia,,Lam.,Cannabaceae,Rosales,PRTRE451-13,KJ012504,KJ082176,,Monsegur O.-618,01-Dec-2006,US
Cestrum citrifolium,Cestrum,citrifolium,,Retz.,Solanaceae,Solanales,PRTRE211-13,KJ012505,KJ082177,KJ426648,R.A. Muscarella-479,08-Oct-2011,US
Cestrum citrifolium,Cestrum,citrifolium,,Retz.,Solanaceae,Solanales,PRTRE353-13,KJ012506,KJ082178,KJ426649,F. Axelrod-12373,02-Jul-2002,US
Chionanthus compactus,Chionanthus,compactus,,Sw.,Oleaceae,Lamiales,PRTRE520-13,,KJ082179,,R.A. Muscarella-731,07-Dec-2012,US
Chionanthus compactus,Chionanthus,compactus,,Sw.,Oleaceae,Lamiales,PRTRE665-13,,KJ082180,,R.A. Muscarella-688,04-Feb-2012,US
Chionanthus domingensis,Chionanthus,domingensis,,Lam.,Oleaceae,Lamiales,PRTRE655-13,,KJ082181,KJ426650,R.A. Muscarella-600,21-Feb-2012,US
Chionanthus domingensis,Chionanthus,domingensis,,Lam.,Oleaceae,Lamiales,PRTRE555-13,KJ012507,KJ082182,KJ426651,R.A. Muscarella-610,13-Feb-2012,US
Chionanthus holdridgei,Chionanthus,holdridgei,,(Camp & Monach.) Stearn,Oleaceae,Lamiales,PRTRE304-13,,KJ082183,KJ426652,G.J. Breckon-6455,02-Jul-2001,US
Chione venosa,Chione,venosa,var. venosa,(Sw.) Urb.,Rubiaceae,Gentianales,PRTRE617-13,,KJ082184,KJ426653,R.A. Muscarella-608,13-Feb-2012,US
Chione venosa,Chione,venosa,var. venosa,(Sw.) Urb.,Rubiaceae,Gentianales,PRTRE427-13,KJ012508,KJ082185,,R.A. Muscarella-178,07-Oct-2011,US
Chrysobalanus icaco,Chrysobalanus,icaco,,L.,Chrysobalanaceae,Malpighiales,PRTRE270-13,KJ012509,KJ082186,KJ426654,R.A. Muscarella-292,19-Jul-2011,US
Chrysophyllum argenteum,Chrysophyllum,argenteum,,Jacq.,Sapotaceae,Ericales,PRTRE561-13,,KJ082187,,R.A. Muscarella-689,04-Feb-2012,US
Chrysophyllum argenteum,Chrysophyllum,argenteum,,Jacq.,Sapotaceae,Ericales,PRTRE444-13,KJ012510,KJ082188,,R.A. Muscarella-66,06-Oct-2011,US
Chrysophyllum bicolor,Chrysophyllum,bicolor,,Poir.,Sapotaceae,Ericales,PRTRE430-13,,KJ082189,,P. Acevedo-Rdgz.-2900,06-Jun-1989,US
Chrysophyllum oliviforme,Chrysophyllum,oliviforme,,L.,Sapotaceae,Ericales,PRTRE374-13,,KJ082190,,F. Axelrod-12921,02-Jun-2004,US
Chrysophyllum pauciflorum,Chrysophyllum,pauciflorum,,Lam.,Sapotaceae,Ericales,PRTRE570-13,KJ012511,,,R.A. Muscarella-687,04-Feb-2012,US
Cinnamomum montanum,Cinnamomum,montanum,,(Sw.) J. Presl,Lauraceae,Laurales,PRTRE534-13,KJ012512,KJ082191,KJ426655,R.A. Muscarella-611,13-Feb-2012,US
Citharexylum spinosum,Citharexylum,spinosum,,L.,Verbenaceae,Lamiales,PRTRE442-13,KJ012517,KJ082196,,R.A. Muscarella-119,07-Jun-2011,US
Clidemia eggersii,Clidemia,eggersii,,(Cogn.) F. S. Axelrod,Melastomataceae,Myrtales,PRTRE002-13,,KJ082197,KJ426660,R.A. Muscarella-27,06-Dec-2011,US
Clidemia hirta,Clidemia,hirta,,(L.) D. Don,Melastomataceae,Myrtales,PRTRE229-13,,KJ082198,KJ426661,R.A. Muscarella-278,19-May-2012,US
Clusia clusioides,Clusia,clusioides,,(Griseb.) D`Arcy,Clusiaceae,Malpighiales,PRTRE112-13,KJ012518,KJ082199,KJ426662,R.A. Muscarella-1,02-May-2011,US
Clusia gundlachii,Clusia,gundlachii,,A. Stahl,Clusiaceae,Malpighiales,PRTRE013-13,,KJ082200,KJ426663,R.A. Muscarella-144,07-Aug-2011,US
Clusia minor,Clusia,minor,,L.,Clusiaceae,Malpighiales,PRTRE226-13,,KJ082201,,R.A. Muscarella-350,22-Jul-2011,US
Coccoloba costata,Coccoloba,costata,,C. Wright,Polygonaceae,Caryophyllales,PRTRE509-13,KJ012519,KJ082202,,R.A. Muscarella-673,29-Mar-2012,US
Coccoloba costata,Coccoloba,costata,,C. Wright,Polygonaceae,Caryophyllales,PRTRE618-13,KJ012520,KJ082203,,R.A. Muscarella-626,21-Feb-2012,US
Coccoloba diversifolia,Coccoloba,diversifolia,,Jacq.,Polygonaceae,Caryophyllales,PRTRE625-13,,KJ082204,,R.A. Muscarella-672,29-Mar-2012,US
Coccoloba diversifolia,Coccoloba,diversifolia,,Jacq.,Polygonaceae,Caryophyllales,PRTRE566-13,KJ012521,KJ082205,,R.A. Muscarella-168,07-Sep-2011,US
Coccoloba krugii,Coccoloba,krugii,,Lindau,Polygonaceae,Caryophyllales,PRTRE012-13,KJ012522,KJ082206,KJ426664,R.A. Muscarella-167,07-Sep-2011,US
Coccoloba krugii,Coccoloba,krugii,,Lindau,Polygonaceae,Caryophyllales,PRTRE185-13,KJ012523,KJ082207,KJ426665,R.A. Muscarella-152,07-Sep-2011,US
Coccoloba microstachya,Coccoloba,microstachya,,Willd.,Polygonaceae,Caryophyllales,PRTRE081-13,KJ012524,KJ082208,KJ426666,R.A. Muscarella-130,07-Jul-2011,US
Coccoloba pubescens,Coccoloba,pubescens,,L.,Polygonaceae,Caryophyllales,PRTRE044-13,KJ012525,KJ082209,KJ426667,R.A. Muscarella-35,15-Jun-2011,US
Coccoloba pyrifolia,Coccoloba,pyrifolia,,Desf.,Polygonaceae,Caryophyllales,PRTRE505-13,KJ012526,KJ082210,,R.A. Muscarella-749,13-Sep-2012,US
Coccoloba pyrifolia,Coccoloba,pyrifolia,,Desf.,Polygonaceae,Caryophyllales,PRTRE426-13,KJ012527,KJ082211,,R.A. Muscarella-96,18-Jun-2011,US
Coccoloba pyrifolia,Coccoloba,pyrifolia,,Desf.,Polygonaceae,Caryophyllales,PRTRE574-13,,KJ082212,,R.A. Muscarella-621,21-Feb-2012,US
Coccoloba pyrifolia,Coccoloba,pyrifolia,,Desf.,Polygonaceae,Caryophyllales,PRTRE546-13,KJ012528,KJ082213,,R.A. Muscarella-747,13-Sep-2012,US
Coccoloba pyrifolia,Coccoloba,pyrifolia,,Desf.,Polygonaceae,Caryophyllales,PRTRE649-13,,KJ082214,,R.A. Muscarella-531,02-Jun-2012,US
Coccoloba pyrifolia,Coccoloba,pyrifolia,,Desf.,Polygonaceae,Caryophyllales,PRTRE408-13,,KJ082215,,R.A. Muscarella-42,06-Nov-2011,US
Coccoloba rugosa,Coccoloba,rugosa,,Desf.,Polygonaceae,Caryophyllales,PRTRE406-13,KJ012529,KJ082216,,R.A. Muscarella-50,06-Nov-2011,US
Coccoloba rugosa,Coccoloba,rugosa,,Desf.,Polygonaceae,Caryophyllales,PRTRE039-13,KJ012530,KJ082217,,R.A. Muscarella-115,07-May-2011,US
Coccoloba sintenisii,Coccoloba,sintenisii,,Urb.,Polygonaceae,Caryophyllales,PRTRE064-13,KJ012531,KJ082218,KJ426668,R.A. Muscarella-94,18-Jun-2011,US
Coccoloba sintenisii,Coccoloba,sintenisii,,Urb.,Polygonaceae,Caryophyllales,PRTRE582-13,,KJ082219,,R.A. Muscarella-637,21-Feb-2012,US
Coccoloba swartzii,Coccoloba,swartzii,,Meisn. f. urbaniana (Lindau) R.A. Howard,Polygonaceae,Caryophyllales,PRTRE651-13,,KJ082220,,R.A. Muscarella-529,02-Jun-2012,US
Coccoloba swartzii,Coccoloba,swartzii,,Meisn.,Polygonaceae,Caryophyllales,PRTRE524-13,KJ012532,KJ082221,,R.A. Muscarella-748,13-Sep-2012,US
Coccoloba swartzii,Coccoloba,swartzii,,Meisn.,Polygonaceae,Caryophyllales,PRTRE034-13,KJ012533,KJ082222,KJ426669,R.A. Muscarella-143,07-Aug-2011,US
Coccoloba swartzii,Coccoloba,swartzii,,Meisn.,Polygonaceae,Caryophyllales,PRTRE526-13,KJ012534,KJ082223,,R.A. Muscarella-750,13-Sep-2012,US
Coccoloba tenufolia,Coccoloba,tenufolia,,L.,Polygonaceae,Caryophyllales,PRTRE460-13,KJ012535,KJ082224,,R.A. Muscarella-741,30-Aug-2012,US
Coccoloba uvifera,Coccoloba,uvifera,,(L.) L.,Polygonaceae,Caryophyllales,PRTRE153-13,KJ012536,KJ082225,,R.A. Muscarella-466,08-Jul-2011,US
Coccoloba venosa,Coccoloba,venosa,,L.,Polygonaceae,Caryophyllales,PRTRE248-13,KJ012537,KJ082226,KJ426670,R.A. Muscarella-334,22-Jul-2011,US
Coccothrinax barbadensis,Coccothrinax,barbadensis,,(Lodd. ex Mart.) Becc.,Arecaceae,Arecales,PRTRE043-13,KJ012538,KJ082227,KJ426671,R.A. Muscarella-49,15-Jun-2011,US
Cojoba arborea,Cojoba,arborea,,(L.) Britton & Rose,Fabaceae,Fabales,PRTRE262-13,KJ012539,KJ082228,KJ426672,R.A. Muscarella-273,16-Jul-2011,US
Cojoba arborea,Cojoba,arborea,,(L.) Britton & Rose,Fabaceae,Fabales,PRTRE554-13,,KJ082229,KJ426673,R.A. Muscarella-623,21-Feb-2012,US
Colubrina arborescens,Colubrina,arborescens,,(Mill.) Sarg.,Rhamnaceae,Rosales,PRTRE163-13,KJ012540,KJ082230,KJ426674,R.A. Muscarella-156,07-Sep-2011,US
Colubrina arborescens,Colubrina,arborescens,,(Mill.) Sarg.,Rhamnaceae,Rosales,PRTRE070-13,KJ012541,KJ082231,KJ426675,R.A. Muscarella-13,06-Mar-2011,US
Colubrina elliptica,Colubrina,elliptica,,(Sw.) Brizicky & W. L. Stern,Rhamnaceae,Rosales,PRTRE029-13,KJ012542,KJ082232,KJ426676,R.A. Muscarella-69,15-Jun-2011,US
Colubrina verrucosa,Colubrina,verrucosa,,(Urb.) M. C. Johnst.,Rhamnaceae,Rosales,PRTRE246-13,KJ012543,KJ082233,KJ426677,R.A. Muscarella-388,28-Jul-2011,US
Comocladia dodonaea,Comocladia,dodonaea,,(L.) Urb.,Anacardiaceae,Sapindales,PRTRE247-13,KJ012544,KJ082234,KJ426678,R.A. Muscarella-371,28-Jul-2011,US
Conocarpus erectus,Conocarpus,erectus,,L.,Combretaceae,Myrtales,PRTRE285-13,KJ012545,KJ082235,KJ426679,R.A. Muscarella-291,19-Jul-2011,US
Corchorus hirsutus,Corchorus,hirsutus,,L.,Malvaceae,Malvales,PRTRE459-13,KJ012546,KJ082236,,R.A. Muscarella-209,16-Jul-2011,US
Cordia collococca,Cordia,collococca,,L.,Boraginaceae,Boraginales,PRTRE194-13,KJ012547,KJ082237,KJ426680,R.A. Muscarella-395,28-Jul-2011,US
Cordia curassavica,Cordia,curassavica,,(Jacq.) Roem. & Schult.,Boraginaceae,Boraginales,PRTRE410-13,KJ012548,KJ082238,,R.A. Muscarella-54,06-Mar-2011,US
Cordia laevigata,Cordia,laevigata,,Lam.,Boraginaceae,Boraginales,PRTRE600-13,KJ012549,,,R.A. Muscarella-682,04-Feb-2012,US
Cordia rickseckeri,Cordia,rickseckeri,,Millsp.,Boraginaceae,Boraginales,PRTRE151-13,KJ012550,KJ082239,KJ426681,R.A. Muscarella-432,30-Jul-2011,US
Cornutia obovata,Cornutia,obovata,,Urb.,Lamiaceae,Lamiales,PRTRE187-13,,KJ082240,,R.A. Muscarella-494,08-Dec-2011,US
Cornutia obovata,Cornutia,obovata,,Urb.,Lamiaceae,Lamiales,PRTRE362-13,,,KJ426682,F. Axelrod-8630,02-Aug-1995,US
Cornutia pyramidata,Cornutia,pyramidata,,L.,Lamiaceae,Lamiales,PRTRE390-13,,KJ082241,,W. Greuter-26643,15-Jun-2006,US
Crescentia cujete,Crescentia,cujete,,L.,Bignoniaceae,Lamiales,PRTRE286-13,KJ012551,KJ082242,KJ426683,R.A. Muscarella-302,19-Jul-2011,US
Crescentia linearifolia,Crescentia,linearifolia,,Miers,Bignoniaceae,Lamiales,PRTRE383-13,,KJ082243,KJ426684,M. Mejia-2043,02-Jul-1999,US
Critonia portoricensis,Critonia,portoricensis,,(Urb.) Britton & P. Wilson,Asteraceae,Asterales,PRTRE336-13,,KJ082244,KJ426685,F. Axelrod-12388,02-Jul-2002,US
Crossopetalum rhacoma,Crossopetalum,rhacoma,,Cranz,Celastraceae,Celastrales,PRTRE123-13,KJ012552,KJ082245,KJ426686,R.A. Muscarella-203,16-Jul-2011,US
