BINOMIAL,GENUS,SPECIES,BELOW_SPECIES,Author,FAMILY,ORDER,Bold_Process_ID,matK_Accession,rbcLa_Accession,trnH_psbA_Accession,Collector,Collection_Date,Voucher_Institution
Prunus occidentalis,Prunus,occidentalis,,Sw.,Rosaceae,Rosales,PRTRE129-13,KJ012734,KJ082520,KJ426896,R.A. Muscarella-435,30-Jul-2011,US
Psidium amplexicaule,Psidium,amplexicaule,,Pers.,Myrtaceae,Myrtales,PRTRE551-13,,KJ082521,KJ426897,R.A. Muscarella-681,04-Feb-2012,US
Psidium amplexicaule,Psidium,amplexicaule,,Pers.,Myrtaceae,Myrtales,PRTRE272-13,KJ012735,KJ082522,KJ426898,R.A. Muscarella-269,17-Jul-2011,US
Psychotria brownei,Psychotria,brownei,,Spreng.,Rubiaceae,Gentianales,PRTRE373-13,,KJ082523,KJ426899,F. Axelrod-1967,02-Feb-1991,US
Psychotria domingensis,Psychotria,domingensis,,Jacq.,Rubiaceae,Gentianales,PRTRE283-13,KJ012736,KJ082524,KJ426900,R.A. Muscarella-267,17-Jul-2011,US
Psychotria maleolens,Psychotria,maleolens,,Urb.,Rubiaceae,Gentianales,PRTRE242-13,KJ012737,KJ082525,KJ426901,R.A. Muscarella-287,18-Jul-2011,US
Psychotria maricaensis,Psychotria,maricaensis,,Urb.,Rubiaceae,Gentianales,PRTRE330-13,,KJ082528,,F. Axelrod-11452,02-Jul-2001,US
Psychotria pubescens,Psychotria,pubescens,,Sw.,Rubiaceae,Gentianales,PRTRE495-13,KJ012738,KJ082526,KJ426902,R.A. Muscarella-617,21-Feb-2012,US
Psychotria pubescens,Psychotria,pubescens,,Sw.,Rubiaceae,Gentianales,PRTRE324-13,,KJ082527,KJ426903,F. Axelrod-13055,02-Jun-2005,US
Pterocarpus indicus,Pterocarpus,indicus,,Willd.,Fabaceae,Fabales,PRTRE277-13,KJ012739,KJ082529,KJ426904,R.A. Muscarella-180,07-Nov-2011,US
Quadrella cynophallophora,Quadrella,cynophallophora,,(L.) Hutch.,Capparaceae,Brassicales,PRTRE060-13,KJ012740,KJ082530,KJ426905,R.A. Muscarella-150,07-Sep-2011,US
Quadrella indica,Quadrella,indica,,(L.) Iltis & Cornejo,Capparaceae,Brassicales,PRTRE237-13,KJ012741,KJ082531,KJ426906,R.A. Muscarella-196,07-Sep-2011,US
Quadrella indica,Quadrella,indica,,(L.) Iltis & Cornejo,Capparaceae,Brassicales,PRTRE385-13,KJ012742,KJ082532,,R.A. Muscarella-8,06-Jan-2011,US
Quararibea turbinata,Quararibea,turbinata,,(Sw.) Poir,Malvaceae,Malvales,PRTRE420-13,KJ012743,KJ082533,,R.A. Muscarella-45,06-Nov-2011,US
Randia aculeata,Randia,aculeata,,L.,Rubiaceae,Gentianales,PRTRE121-13,KJ012744,KJ082534,KJ426907,R.A. Muscarella-10,06-Mar-2011,US
Ravenia urbanii,Ravenia,urbanii,,Engl.,Rutaceae,Sapindales,PRTRE133-13,,KJ082535,KJ426908,R.A. Muscarella-489,08-Dec-2011,US
Reynosia krugii,Reynosia,krugii,,Urb.,Rhamnaceae,Rosales,PRTRE512-13,KJ012745,KJ082536,,R.A. Muscarella-618,21-Feb-2012,US
Reynosia krugii,Reynosia,krugii,,Urb.,Rhamnaceae,Rosales,PRTRE313-13,,KJ082537,KJ426909,F. Axelrod-10184,02-Aug-1997,US
Reynosia krugii,Reynosia,krugii,,Urb.,Rhamnaceae,Rosales,PRTRE664-13,KJ012746,KJ082538,KJ426910,R.A. Muscarella-638,21-Feb-2012,US
Reynosia uncinata,Reynosia,uncinata,,Urb.,Rhamnaceae,Rosales,PRTRE182-13,KJ012747,KJ082539,KJ426911,R.A. Muscarella-153,07-Sep-2011,US
Reynosia uncinata,Reynosia,uncinata,,Urb.,Rhamnaceae,Rosales,PRTRE126-13,KJ012748,KJ082540,KJ426912,R.A. Muscarella-9,06-Mar-2011,US
Reynosia vivesiana,Reynosia,vivesiana,,Trejo,Rhamnaceae,Rosales,PRTRE119-13,KJ012749,KJ082541,KJ426913,R.A. Muscarella-146,07-Sep-2011,US
Reynosia vivesiana,Reynosia,vivesiana,,Trejo,Rhamnaceae,Rosales,PRTRE527-13,KJ012750,KJ082542,KJ426914,R.A. Muscarella-723,07-Feb-2012,US
Rhamnus sphaerosperma,Rhamnus,sphaerosperma,var. longipes,M. C. Johnst. & L. A. Johnst.,Rhamnaceae,Rosales,PRTRE054-13,KJ012751,KJ082543,KJ426915,R.A. Muscarella-76,18-Jun-2011,US
Rhizophora mangle,Rhizophora,mangle,,L.,Rhizophoraceae,Malpighiales,PRTRE108-13,KJ012752,,,R.A. Muscarella-290,18-Jul-2011,US
Rochefortia acanthophora,Rochefortia,acanthophora,,(DC.) Griseb.,Boraginaceae,Boraginales,PRTRE268-13,,KJ082544,,R.A. Muscarella-369,28-Jul-2011,US
Rochefortia spinosa,Rochefortia,spinosa,,(Jacq.) Urb.,Boraginaceae,Boraginales,PRTRE620-13,KJ012753,KJ082544,KJ426916,R.A. Muscarella-676,04-Feb-2012,US
Rondeletia inermis,Rondeletia,inermis,,(Spreng.) Krug & Urb.,Rubiaceae,Gentianales,PRTRE040-13,KJ012754,KJ082545,KJ426917,R.A. Muscarella-99,18-Jun-2011,US
Rondeletia pilosa,Rondeletia,pilosa,,Sw.,Rubiaceae,Gentianales,PRTRE116-13,KJ012755,KJ082546,KJ426918,R.A. Muscarella-236,16-Jul-2011,US
Rondeletia portoricensis,Rondeletia,portoricensis,,Krug & Urb.,Rubiaceae,Gentianales,PRTRE398-13,,KJ082547,,R.A. Muscarella-80,06-Nov-2011,US
Sabal causiarum,Sabal,causiarum,,(O. F. Cook) Becc.,Arecaceae,Arecales,PRTRE294-13,,AY012467.1,,James S. Miller-6643,02-Feb-1991,US
Sapindus saponaria,Sapindus,saponaria,,L.,Sapindaceae,Sapindales,PRTRE307-13,,KJ082549,,G.J. Breckon-4333,02-Aug-1993,US
Savia sessiliflora,Savia,sessiliflora,,(Sw.) Willd.,Phyllanthaceae,Malpighiales,PRTRE093-13,KJ012757,KJ082550,KJ426920,R.A. Muscarella-390,08-Dec-2011,US
Schaefferia frutescens,Schaefferia,frutescens,,Jacq.,Celastraceae,Celastrales,PRTRE265-13,KJ012758,KJ082551,,R.A. Muscarella-370,28-Jul-2011,US
Schaefferia frutescens,Schaefferia,frutescens,,Jacq.,Celastraceae,Celastrales,PRTRE238-13,KJ012759,KJ082552,KJ426921,R.A. Muscarella-214,16-Jul-2011,US
Schefflera gleasonii,Schefflera,gleasonii,,(Britton & Wilson) Alain,Araliaceae,Apiales,PRTRE447-13,,KJ082553,,Sue A. Thompson-9994,17-Jan-1992,US
Schinus terebinthifolia,Schinus,terebinthifolia,,Raddi,Anacardiaceae,Sapindales,PRTRE223-13,KJ012760,KJ082554,KJ426922,R.A. Muscarella-298,18-Jul-2011,US
Schoepfia arenaria,Schoepfia,arenaria,,Britton,Schoepfiaceae,Santalales,PRTRE327-13,,KJ082558,,P. Acevedo-Rdgz.-7027,02-Aug-1994,US
Schoepfia obovata,Schoepfia,obovata,,C. Wright,Schoepfiaceae,Santalales,PRTRE461-13,KJ012763,KJ082557,KJ426925,R.A. Muscarella-558,13-Feb-2012,US
Schoepfia schreberi,Schoepfia,schreberi,,J. F. Gmel.,Schoepfiaceae,Santalales,PRTRE101-13,,KJ082560,KJ426927,F. Axelrod-13231,02-Jun-2005,US
Senegalia muricata,Senegalia,muricata,,(L.) Britton & Rose,Fabaceae,Fabales,PRTRE033-13,KJ012765,KJ082562,KJ426929,R.A. Muscarella-138,07-Jul-2011,US
Senna polyphylla,Senna,polyphylla,var. polyphylla,(Jacq.) H. S. Irwin & Barneby,Fabaceae,Fabales,PRTRE019-13,KJ012766,KJ082563,KJ426930,R.A. Muscarella-55,06-Mar-2011,US
Senna siamea,Senna,siamea,,(Lam.) H.S. Irwin & Barneby,Fabaceae,Fabales,PRTRE015-13,KJ012767,KJ082564,KJ426931,R.A. Muscarella-120,07-Jun-2011,US
Senna spectabilis,Senna,spectabilis,,(DC.) H. S. Irwin & Barneby,Fabaceae,Fabales,PRTRE279-13,,KJ082565,KJ426932,R.A. Muscarella-188,07-Dec-2011,US
Sideroxylon cubense,Sideroxylon,cubense,,(Griseb.) T.D. Penn.,Sapotaceae,Ericales,PRTRE537-13,KJ012768,KJ082566,,R.A. Muscarella-665,14-Mar-2012,US
Sideroxylon cubense,Sideroxylon,cubense,,(Griseb.) T. D. Penn.,Sapotaceae,Ericales,PRTRE328-13,,KJ082567,,G.J. Breckon-6223,02-Jul-2000,US
Sideroxylon cubense,Sideroxylon,cubense,,(Griseb.) T. D. Penn.,Sapotaceae,Ericales,PRTRE140-13,KJ012769,KJ082568,KJ426933,R.A. Muscarella-507,08-Dec-2011,US
Sideroxylon foetidissimum,Sideroxylon,foetidissimum,,Jacq.,Sapotaceae,Ericales,PRTRE498-13,KJ012770,KJ082569,,R.A. Muscarella-677,04-Feb-2012,US
Sideroxylon foetidissimum,Sideroxylon,foetidissimum,subsp. foetidissimum,Jacq.,Sapotaceae,Ericales,PRTRE214-13,KJ012772,KJ082571,KJ426934,R.A. Muscarella-436,30-Jul-2011,US
Sideroxylon obovatum,Sideroxylon,obovatum,,Lam.,Sapotaceae,Ericales,PRTRE280-13,KJ012773,KJ082572,KJ426935,R.A. Muscarella-224,16-Jul-2011,US
Sideroxylon obovatum,Sideroxylon,obovatum,,Lam.,Sapotaceae,Ericales,PRTRE500-13,KJ012774,KJ082573,,R.A. Muscarella-715,07-Feb-2012,US
Sideroxylon portoricense,Sideroxylon,portoricense,subsp. portoricense,Urb.,Sapotaceae,Ericales,PRTRE179-13,KJ012775,KJ082574,KJ426936,R.A. Muscarella-483,08-Oct-2011,US
Sideroxylon salicifolium,Sideroxylon,salicifolium,,(L.) Lam.,Sapotaceae,Ericales,PRTRE550-13,,KJ082577,,R.A. Muscarella-691,04-Nov-2012,US
Sideroxylon salicifolium,Sideroxylon,salicifolium,,(L.) Lam,Sapotaceae,Ericales,PRTRE218-13,KJ012777,KJ082578,KJ426938,R.A. Muscarella-220,16-Jul-2011,US
Simarouba tulae,Simarouba,tulae,,Urb.,Simaroubaceae,Sapindales,PRTRE234-13,KJ012778,KJ082579,KJ426939,R.A. Muscarella-197,15-Jul-2011,US
Simarouba tulae,Simarouba,tulae,,Urb.,Simaroubaceae,Sapindales,PRTRE605-13,,KJ082580,,R.A. Muscarella-530,02-Jun-2012,US
Siphoneugena densiflora,Siphoneugena,densiflora,,O. Berg in Martius,Myrtaceae,Myrtales,PRTRE334-13,,KF981269.1,,Andrew Salywon-1238,02-Jul-2001,US
Sloanea amygdalina,Sloanea,amygdalina,,Griseb.,Elaeocarpaceae,Oxalidales,PRTRE646-13,KJ012779,KJ082581,KJ426940,R.A. Muscarella-588,21-Feb-2012,US
Solanum ensifolium,Solanum,ensifolium,,Dunal,Solanaceae,Solanales,PRTRE181-13,KJ012782,KJ082582,KJ426942,R.A. Muscarella-504,08-Dec-2011,US
Solanum ensifolium,Solanum,ensifolium,,Dunal,Solanaceae,Solanales,PRTRE295-13,,,KJ426941,F. Axelrod-8403,02-Aug-1994,US
Solanum erianthum,Solanum,erianthum,,D. Don,Solanaceae,Solanales,PRTRE230-13,KJ012783,KJ082583,KJ426943,R.A. Muscarella-263,17-Jul-2011,US
Solanum rugosum,Solanum,rugosum,,Dunal,Solanaceae,Solanales,PRTRE278-13,JQ589269.1,JQ594177.1 ,,R.A. Muscarella-175,07-Oct-2011,US
Spondias mombin,Spondias,mombin,,L.,Anacardiaceae,Sapindales,PRTRE254-13,,,KJ426944,R.A. Muscarella-194,07-Dec-2011,US
Stahlia monosperma,Stahlia,monosperma,,(Tul.) Urb.,Fabaceae,Fabales,PRTRE567-13,,KJ082584,KJ426945,R.A. Muscarella-444,30-Jul-2011,US
Stenostomum acutatum,Stenostomum,acutatum,,DC.,Rubiaceae,Gentianales,PRTRE035-13,KJ012784,KJ082585,KJ426946,R.A. Muscarella-161,07-Sep-2011,US
Stenostomum coriaceum,Stenostomum,coriaceum,,(Vahl) Griseb.,Rubiaceae,Gentianales,PRTRE603-13,KJ012785,KJ082586,KJ426947,R.A. Muscarella-674,20-Mar-2012,US
Stenostomum lucidum,Stenostomum,lucidum,,(Sw.) C. F. Gaertn.,Rubiaceae,Gentianales,PRTRE102-13,KJ012786,KJ082587,KJ426948,Breckon-4602,02-Aug-1995,US
Stenostomum obtusifolium,Stenostomum,obtusifolium,,(Urb.) Britton & P. Wilson,Rubiaceae,Gentianales,PRTRE622-13,KJ012787,KJ082588,KJ426949,R.A. Muscarella-518,02-Jun-2012,US
Stenostomum sintenisii,Stenostomum,sintenisii,,(Urb.) Britton & P. Wilson,Rubiaceae,Gentianales,PRTRE174-13,KJ012788,KJ082589,KJ426950,R.A. Muscarella-415,30-Jul-2011,US
Styrax portoricensis,Styrax,portoricensis,,Krug & Urb.,Styracaceae,Ericales,PRTRE155-13,KJ012789,KJ082590,KJ426951,R.A. Muscarella-486,08-Dec-2011,US
Suriana maritima,Suriana,maritima,,L.,Surianaceae,Fabales,PRTRE199-13,KJ012790,KJ082591,,R.A. Muscarella-451,08-May-2011,US
Swietenia macrophylla,Swietenia,macrophylla,,G. King,Meliaceae,Sapindales,PRTRE511-13,KJ012791,KJ082592,,R.A. Muscarella-633,21-Feb-2012,US
Swietenia mahagoni,Swietenia,mahagoni,,(L.) Jacq.,Meliaceae,Sapindales,PRTRE022-13,KJ012792,KJ082593,KJ426952,R.A. Muscarella-17,06-Mar-2011,US
Swietenia mahagony,Swietenia,mahagony,,(L.) Jacq.,Meliaceae,Sapindales,PRTRE565-13,KJ012793,KJ082594,,R.A. Muscarella-159,07-Sep-2011,US
Symplocos lanata,Symplocos,lanata,,Krug & Urb.,Symplocaceae,Ericales,PRTRE183-13,,KJ082595,,F. Axelrod-12546,02-Jun-2003,US
Symplocos martinicensis,Symplocos,martinicensis,subsp. martinicensis,Jacq.,Symplocaceae,Ericales,PRTRE593-13,,KJ082595,KJ426953,R.A. Muscarella-634,21-Feb-2012,US
Symplocos micrantha,Symplocos,micrantha,,Krug & Urb.,Symplocaceae,Ericales,PRTRE297-13,,KJ082596,,F. Axelrod-12512,02-Jun-2003,US
Syzygium malaccense,Syzygium,malaccense,,(L.) Merr. & L. M. Perry,Myrtaceae,Myrtales,PRTRE048-13,,KJ082597,KJ426954,R.A. Muscarella-4,06-Mar-2011,US
Tabebuia haemantha,Tabebuia,haemantha,,(Bertero ex Spreng.) A. DC.,Bignoniaceae,Lamiales,PRTRE055-13,,KJ082598,,R.A. Muscarella-98,18-Jun-2011,US
Tabebuia haemantha,Tabebuia,haemantha,,(Bertero ex Spreng.) DC.,Bignoniaceae,Lamiales,PRTRE630-13,,,KJ426955,R.A. Muscarella-552,13-Feb-2012,US
Tabebuia karsoana,Tabebuia,karsoana,,Trejo,Bignoniaceae,Lamiales,PRTRE597-13,KJ012794,,KJ426956,R.A. Muscarella-671,20-Mar-2012,US
Tabebuia rigida,Tabebuia,rigida,,Urb.,Bignoniaceae,Lamiales,PRTRE634-13,,KJ082599,,R.A. Muscarella-575,19-Feb-2012,US
Tabebuia rigida,Tabebuia,rigida,,Urb.,Bignoniaceae,Lamiales,PRTRE611-13,,KJ082600,KJ426957,R.A. Muscarella-574,19-Feb-2012,US
Tabebuia rigida,Tabebuia,rigida,,Urb.,Bignoniaceae,Lamiales,PRTRE271-13,KJ012795,KJ082601,KJ426958,R.A. Muscarella-284,18-Jul-2011,US
Tabebuia schumanniana,Tabebuia,schumanniana,,Urb.,Bignoniaceae,Lamiales,PRTRE547-13,KJ012796,KJ082602,KJ426959,R.A. Muscarella-526,02-Jun-2012,US
Tabebuia schumanniana,Tabebuia,schumanniana,,Urb.,Bignoniaceae,Lamiales,PRTRE110-13,KJ012798,KJ082603,KJ426961,R.A. Muscarella-253,16-Jul-2011,US
Tabebuia schumanniana,Tabebuia,schumanniana,,Urb.,Bignoniaceae,Lamiales,PRTRE598-13,KJ012797,,KJ426960,R.A. Muscarella-514,02-Jun-2012,US
Tabernaemontana citrifolia,Tabernaemontana,citrifolia,,L.,Apocynaceae,Gentianales,PRTRE031-13,KJ012799,KJ082604,,R.A. Muscarella-103,07-Mar-2011,US
Tamarindus indica,Tamarindus,indica,,L.,Fabaceae,Fabales,PRTRE276-13,,KJ082605,KJ426962,R.A. Muscarella-189,07-Dec-2011,US
Tectona grandis,Tectona,grandis,,L.,Lamiaceae,Lamiales,PRTRE208-13,KJ012800,KJ082606,KJ426963,R.A. Muscarella-510,08-Dec-2011,US
Ternstroemia heptasepala,Ternstroemia,heptasepala,,Krug & Urb.,Pentaphylacaceae,Ericales,PRTRE315-13,,KJ082607,KJ426964,F. Axelrod-9166,02-Aug-1995,US
Ternstroemia peduncularis,Ternstroemia,peduncularis,,DC.,Pentaphylacaceae,Ericales,PRTRE014-13,KJ012801,KJ082608,KJ426965,R.A. Muscarella-139,07-Jul-2011,US
Ternstroemia stahlii,Ternstroemia,stahlii,,Krug & Urb.,Pentaphylacaceae,Ericales,PRTRE371-13,,KJ082609,KJ426966,F. Axelrod-12569,02-Jun-2003,US
Ternstroemia stahlii,Ternstroemia,stahlii,,Krug & Urb.,Pentaphylacaceae,Ericales,PRTRE660-13,,KJ082610,KJ426967,R.A. Muscarella-547,21-Feb-2012,US
Ternstroemia stahlii,Ternstroemia,stahlii,,Krug & Urb.,Pentaphylacaceae,Ericales,PRTRE134-13,KJ012802,KJ082611,KJ426968,R.A. Muscarella-499,08-Dec-2011,US
Tetrazygia angustifolia,Tetrazygia,angustifolia,,(Sw.) DC.,Melastomataceae,Myrtales,PRTRE083-13,,KJ082612,KJ426969,R.A. Muscarella-135,07-Jul-2011,US
Tetrazygia biflora,Tetrazygia,biflora,,(Cogn.) Urb.,Melastomataceae,Myrtales,PRTRE106-13,,KJ082612,KJ426970,R.A. Muscarella-359,26-Jul-2011,US
Tetrazygia crotonifolia,Tetrazygia,crotonifolia,,(Desr.) DC.,Melastomataceae,Myrtales,PRTRE282-13,KJ012803,KJ082613,KJ426971,R.A. Muscarella-254,16-Jul-2011,US
Tetrazygia elaeagnoides,Tetrazygia,elaeagnoides,,(Sw.) DC.,Melastomataceae,Myrtales,PRTRE251-13,,KJ082614,KJ426972,R.A. Muscarella-247,16-Jul-2011,US
Tetrazygia urbanii,Tetrazygia,urbanii,,Cogn.,Melastomataceae,Myrtales,PRTRE032-13,KJ012804,KJ082615,KJ426973,R.A. Muscarella-118,07-Jun-2011,US
Thespesia grandiflora,Thespesia,grandiflora,,DC.,Malvaceae,Malvales,PRTRE021-13,KJ012805,KJ082616,KJ426974,R.A. Muscarella-26,06-Dec-2011,US
Thouinia portoricensis,Thouinia,portoricensis,,Radlk.,Sapindaceae,Sapindales,PRTRE046-13,KJ012806,,KJ426975,R.A. Muscarella-15,06-Mar-2011,US
Thouinia striata,Thouinia,striata,,Radlk.,Sapindaceae,Sapindales,PRTRE189-13,KJ012807,KJ082617,KJ426976,R.A. Muscarella-471,08-Oct-2011,US
Tournefortia filiflora,Tournefortia,filiflora,,Griseb.,Boraginaceae,Boraginales,PRTRE201-13,,KJ082618,KJ426977,R.A. Muscarella-480,08-Oct-2011,US
Trema lamarckianum,Trema,lamarckianum,,(Schult.) Blume,Cannabaceae,Rosales,PRTRE065-13,KJ012808,KJ082619,KJ426978,R.A. Muscarella-75,18-Jun-2011,US
Trema micranthum,Trema,micranthum,,(L.) Blume,Cannabaceae,Rosales,PRTRE405-13,KJ012809,KJ082620,,R.A. Muscarella-79,06-Nov-2011,US
Trichilia hirta,Trichilia,hirta,,L.,Meliaceae,Sapindales,PRTRE105-13,KJ012810,KJ082621,KJ426979,R.A. Muscarella-326,22-Jul-2011,US
Trichilia triacantha,Trichilia,triacantha,,Urb.,Meliaceae,Sapindales,PRTRE095-13,KJ012811,KJ082622,KJ426980,R.A. Muscarella-386,28-Jul-2011,US
Triplaris cumingiana,Triplaris,cumingiana,,Fisch. & C. A. Mey. ex C. A. Mey.,Polygonaceae,Caryophyllales,PRTRE005-13,KJ012812,KJ082623,,R.A. Muscarella-71,18-Jun-2011,US
Trophis racemosa,Trophis,racemosa,,(L.) Urb.,Moraceae,Rosales,PRTRE601-13,KJ012813,KJ082624,,R.A. Muscarella-596,21-Feb-2012,US
Trophis racemosa,Trophis,racemosa,,(L.) Urb.,Moraceae,Rosales,PRTRE575-13,KJ012814,KJ082625,,R.A. Muscarella-603,21-Feb-2012,US
Turpinia occidentalis,Turpinia,occidentalis,,(Sw.) G. Don,Staphyleaceae,Crossosomatales,PRTRE639-13,,KJ082626,KJ426981,R.A. Muscarella-522,02-Jun-2012,US
Turpinia occidentalis,Turpinia,occidentalis,,(Sw.) G. Don,Staphyleaceae,Crossosomatales,PRTRE434-13,KJ012815,KJ082627,,R.A. Muscarella-87,18-Jun-2011,US
Urera chlorocarpa,Urera,chlorocarpa,,Urb.,Urticaceae,Rosales,PRTRE449-13,,KJ082628,,F. Axelrod-6006,29-Mar-1993,US
Vachellia macracantha,Vachellia,macracantha,,(Humb. & Bonpl. ex Willd.) Seigler & Ebinger,Fabaceae,Fabales,PRTRE338-13,KJ012816,KJ082629,KJ426982,G.J. Breckon-7708,02-Jun-2006,US
Vachellia tortuosa,Vachellia,tortuosa,,(L.) Seigler & Ebinger,Fabaceae,Fabales,PRTRE152-13,KJ012817,KJ082630,KJ426983,R.A. Muscarella-443,30-Jul-2011,US
Varronia bellonis,Varronia,bellonis,,(Urb.) Britton,Boraginaceae,Boraginales,PRTRE387-13,,KJ082631,,R.A. Muscarella-508,08-Dec-2011,US
Varronia lima,Varronia,lima,,(Desv.) Roem. & Schult,Boraginaceae,Boraginales,PRTRE441-13,,KJ082631,,R.A. Muscarella-238,16-Jul-2011,US
Varronia polycephala,Varronia,polycephala,,(Lam.) I. M. Johnst,Boraginaceae,Boraginales,PRTRE425-13,KJ012818,KJ082632,,R.A. Muscarella-81,18-Jun-2011,US
Varronia polycephala,Varronia,polycephala,,(Lam.) I. M. Johnst,Boraginaceae,Boraginales,PRTRE455-13,KJ012819,KJ082633,,R.A. Muscarella-177,07-Oct-2011,US
Vitex divaricata,Vitex,divaricata,,Sw.,Lamiaceae,Lamiales,PRTRE428-13,,KJ082634,,R.A. Muscarella-250,17-Jul-2011,US
Volkameria aculeatum,Volkameria,aculeatum,,L.,Lamiaceae,Lamiales,PRTRE213-13,KJ012820,KJ082635,KJ426984,R.A. Muscarella-450,08-May-2011,US
Wallenia lamarckiana,Wallenia,lamarckiana,,(A. DC.) Mez,Primulaceae,Ericales,PRTRE641-13,,,KJ426985,R.A. Muscarella-709,17-Apr-2012,US
Weinmannia pinnata,Weinmannia,pinnata,,L.,Cunoniaceae,Oxalidales,PRTRE299-13,,JQ594753.1,,F. Axelrod-3735,02-Aug-1992,US
Ximenia americana,Ximenia,americana,,L.,Olacaceae,Santalales,PRTRE356-13,KJ012821,KJ082636,,D. Seigler-14449,02-Jul-1999,US
Xylosma buxifolia,Xylosma,buxifolia,,A. Gray,Salicaceae,Malpighiales,PRTRE517-13,KJ012822,KJ082637,,R.A. Muscarella-685,04-May-2012,US
Xylosma buxifolia,Xylosma,buxifolia,,A. Gray,Salicaceae,Malpighiales,PRTRE127-13,KJ012823,KJ082638,,R.A. Muscarella-417,30-Jul-2011,US
Xylosma buxifolia,Xylosma,buxifolia,,A. Gray,Salicaceae,Malpighiales,PRTRE147-13,KJ012824,KJ082639,KJ426986,R.A. Muscarella-421,30-Jul-2011,US
Xylosma pachyphylla,Xylosma,pachyphylla,,(Krug & Urb.) Urb.,Salicaceae,Malpighiales,PRTRE588-13,,KJ082640,,R.A. Muscarella-568,21-Feb-2012,US
Xylosma pachyphylla,Xylosma,pachyphylla,,(Krug & Urb.) Urb.,Salicaceae,Malpighiales,PRTRE354-13,,KJ082641,,F. Axelrod-5395,02-Feb-1992,US
Xylosma schaefferioides,Xylosma,schaefferioides,,A. Gray,Salicaceae,Malpighiales,PRTRE311-13,,KJ082642,,J.C. Trejo-Torres-1517,02-Jul-2000,US
Zanthoxylum bifoliolatum,Zanthoxylum,bifoliolatum,,Leonard,Rutaceae,Sapindales,PRTRE312-13,,KJ082643,KJ426987,C.M. Taylor-7107,02-Feb-1986,US
Zanthoxylum caribaeum,Zanthoxylum,caribaeum,,Lam.,Rutaceae,Sapindales,PRTRE141-13,KJ012825,KJ082644,KJ426988,R.A. Muscarella-498,08-Dec-2011,US
Zanthoxylum flavum,Zanthoxylum,flavum,,Vahl,Rutaceae,Sapindales,PRTRE557-13,,KJ082645,,R.A. Muscarella-622,21-Feb-2012,US
Zanthoxylum flavum,Zanthoxylum,flavum,,Vahl,Rutaceae,Sapindales,PRTRE281-13,KJ012826,KJ082646,KJ426989,R.A. Muscarella-239,16-Jul-2011,US
Zanthoxylum monophyllum,Zanthoxylum,monophyllum,,(Lam.) P. Wilson,Rutaceae,Sapindales,PRTRE233-13,KJ012827,KJ082647,KJ426990,R.A. Muscarella-217,16-Jul-2011,US
Zanthoxylum punctatum,Zanthoxylum,punctatum,,Vahl,Rutaceae,Sapindales,PRTRE377-13,,KJ082648,KJ426991,J.C. Trejo-Torres-2030,02-Jul-2002,US
Zanthoxylum punctatum,Zanthoxylum,punctatum,,Vahl,Rutaceae,Sapindales,PRTRE626-13,KJ012828,KJ082649,KJ426992,R.A. Muscarella-542,13-Feb-2012,US
Zanthoxylum spinifex,Zanthoxylum,spinifex,,(Jacq.) DC.,Rutaceae,Sapindales,PRTRE349-13,,KJ082650,KJ426993,F. Axelrod-1421,02-Feb-1990,US
Zapoteca portoricensis,Zapoteca,portoricensis,,(Jacq.) H. M. Hern.,Fabaceae,Fabales,PRTRE344-13,KJ012829,KJ082651,KJ426994,F. Axelrod-12810,02-Jun-2004,US
Ziziphus reticulata,Ziziphus,reticulata,,(Vahl) DC.,Rhamnaceae,Rosales,PRTRE097-13,KJ012830,KJ082652,KJ426995,R.A. Muscarella-379,28-Jul-2011,US
Ziziphus rignonii,Ziziphus,rignonii,,Delponte,Rhamnaceae,Rosales,PRTRE200-13,KJ012831,KJ082653,KJ426996,R.A. Muscarella-470,08-May-2011,US
